pasajero,pclass,survived,sex,age,sibsp,parch,ticket,fare,cabin,embarked,boat,body,has_cabin_number
817,3,0,male,29.88113451,0,0,349254,7.8958,,C,NA,NA,0
818,3,0,male,22,0,0,14973,8.05,,S,NA,47,0
819,3,1,female,16,0,0,35851,7.7333,,Q,16,NA,0
820,3,1,female,29.88113451,0,0,335677,7.75,,Q,13,NA,0
821,3,1,male,9,0,2,363291,20.525,,S,C D,NA,0
822,3,0,male,33,1,1,363291,20.525,,S,NA,NA,0
823,3,0,male,41,0,0,SOTON/O.Q. 3101263,7.85,,S,NA,NA,0
824,3,1,female,31,1,1,363291,20.525,,S,C D,NA,0
825,3,0,male,38,0,0,SOTON/O.Q. 3101306,7.05,,S,NA,NA,0
826,3,0,male,9,5,2,CA 2144,46.9,,S,NA,NA,0
827,3,0,male,1,5,2,CA 2144,46.9,,S,NA,NA,0
828,3,0,male,11,5,2,CA 2144,46.9,,S,NA,NA,0
829,3,0,female,10,5,2,CA 2144,46.9,,S,NA,NA,0
830,3,0,female,16,5,2,CA 2144,46.9,,S,NA,NA,0
831,3,0,male,14,5,2,CA 2144,46.9,,S,NA,NA,0
832,3,0,male,40,1,6,CA 2144,46.9,,S,NA,NA,0
833,3,0,female,43,1,6,CA 2144,46.9,,S,NA,NA,0
834,3,0,male,51,0,0,21440,8.05,,S,NA,NA,0
835,3,0,male,32,0,0,8471,8.3625,,S,NA,NA,0
836,3,0,male,29.88113451,0,0,376563,8.05,,S,NA,NA,0
837,3,0,male,20,0,0,7534,9.8458,,S,NA,NA,0
838,3,0,male,37,2,0,3101276,7.925,,S,NA,98,0
839,3,0,male,28,2,0,3101277,7.925,,S,NA,NA,0
840,3,0,male,19,0,0,347069,7.775,,S,NA,NA,0
841,3,0,female,24,0,0,349236,8.85,,S,NA,NA,0
842,3,0,female,17,0,0,AQ/3. 30631,7.7333,,Q,NA,NA,0
843,3,0,male,29.88113451,1,0,65303,19.9667,,S,NA,NA,0
844,3,0,male,29.88113451,1,0,65304,19.9667,,S,NA,NA,0
845,3,0,male,28,1,0,STON/O2. 3101279,15.85,,S,NA,NA,0
846,3,1,female,24,1,0,STON/O2. 3101279,15.85,,S,15,NA,0
847,3,0,male,20,0,0,345769,9.5,,S,NA,NA,0
848,3,0,male,23.5,0,0,2693,7.2292,,C,NA,188,0
849,3,0,male,41,2,0,350026,14.1083,,S,NA,NA,0
850,3,0,male,26,1,0,350025,7.8542,,S,NA,NA,0
851,3,0,male,21,0,0,350029,7.8542,,S,NA,69,0
852,3,1,female,45,1,0,350026,14.1083,,S,11,NA,0
853,3,0,female,29.88113451,0,0,W./C. 6609,7.55,,S,NA,NA,0
854,3,0,male,25,0,0,374887,7.25,,S,B,NA,0
855,3,0,male,29.88113451,0,0,394140,6.8583,,Q,NA,NA,0
856,3,0,male,11,0,0,2699,18.7875,,C,NA,NA,0
857,3,1,female,29.88113451,0,0,370375,7.75,,Q,16,NA,0
858,3,1,male,27,0,0,347089,6.975,,S,15,NA,0
859,3,1,male,29.88113451,0,0,1601,56.4958,,S,C,NA,0
860,3,0,female,18,0,0,365226,6.75,,Q,NA,NA,0
861,3,1,female,26,0,0,STON/O2. 3101282,7.925,,S,NA,NA,0
862,3,0,female,23,0,0,STON/O2. 3101290,7.925,,S,NA,NA,0
863,3,1,female,22,0,0,7548,8.9625,,S,C,NA,0
864,3,0,male,28,0,0,349243,7.8958,,S,NA,306,0
865,3,0,female,28,0,0,347086,7.775,,S,NA,NA,0
866,3,0,female,29.88113451,0,0,382649,7.75,,Q,NA,NA,0
867,3,1,female,2,0,1,3101298,12.2875,,S,15,NA,0
868,3,1,female,22,1,1,3101298,12.2875,,S,15,NA,0
869,3,0,male,43,0,0,C 7075,6.45,,S,NA,NA,0
870,3,0,male,28,0,0,C 4001,22.525,,S,NA,NA,0
871,3,1,female,27,0,0,STON/O2. 3101283,7.925,,S,NA,NA,0
872,3,0,male,29.88113451,0,0,370377,7.75,,Q,NA,NA,0
873,3,1,female,29.88113451,0,0,A. 2. 39186,8.05,,S,C,NA,0
874,3,0,male,42,0,0,348121,7.65,F G63,S,NA,120,1
875,3,1,male,29.88113451,0,0,3470,7.8875,,S,C,NA,0
876,3,0,male,30,0,0,2685,7.2292,,C,NA,NA,0
877,3,0,male,29.88113451,0,0,349220,7.8958,,S,NA,NA,0
878,3,0,female,27,1,0,STON/O2. 3101270,7.925,,S,NA,NA,0
879,3,0,female,25,1,0,STON/O2. 3101271,7.925,,S,NA,NA,0
880,3,0,male,29.88113451,0,0,349201,7.8958,,S,NA,NA,0
881,3,1,male,29,0,0,349240,7.8958,,C,15,NA,0
882,3,1,male,21,0,0,350034,7.7958,,S,A,NA,0
883,3,0,male,29.88113451,0,0,SOTON/O.Q. 3101305,7.05,,S,NA,NA,0
884,3,0,male,20,0,0,350050,7.8542,,S,NA,NA,0
885,3,0,male,48,0,0,350047,7.8542,,S,NA,NA,0
886,3,0,male,17,1,0,350048,7.0542,,S,NA,NA,0
887,3,1,female,29.88113451,0,0,14313,7.75,,Q,D,NA,0
888,3,1,male,29.88113451,0,0,65306,8.1125,,S,13,NA,0
889,3,0,male,34,0,0,3101264,6.4958,,S,NA,143,0
890,3,1,male,26,0,0,347070,7.775,,S,15,NA,0
891,3,0,male,22,0,0,350052,7.7958,,S,NA,156,0
892,3,0,male,33,0,0,7540,8.6542,,S,NA,285,0
893,3,0,male,31,0,0,347063,7.775,,S,NA,NA,0
894,3,0,male,29,0,0,347467,7.8542,,S,NA,NA,0
895,3,1,male,4,1,1,347742,11.1333,,S,15,NA,0
896,3,1,female,1,1,1,347742,11.1333,,S,15,NA,0
897,3,0,male,49,0,0,LINE,0,,S,NA,NA,0
898,3,0,male,33,0,0,347062,7.775,,S,NA,37,0
899,3,0,male,19,0,0,LINE,0,,S,NA,NA,0
900,3,1,female,27,0,2,347742,11.1333,,S,15,NA,0
901,3,0,male,29.88113451,1,2,W./C. 6607,23.45,,S,NA,NA,0
902,3,0,female,29.88113451,1,2,W./C. 6607,23.45,,S,NA,NA,0
903,3,0,male,29.88113451,1,2,W./C. 6607,23.45,,S,NA,NA,0
904,3,0,female,29.88113451,1,2,W./C. 6607,23.45,,S,NA,NA,0
905,3,0,male,23,0,0,349204,7.8958,,S,NA,NA,0
906,3,1,male,32,0,0,350417,7.8542,,S,15,NA,0
907,3,0,male,27,0,0,350408,7.8542,,S,NA,NA,0
908,3,0,female,20,1,0,4136,9.825,,S,NA,NA,0
909,3,0,female,21,1,0,4137,9.825,,S,NA,NA,0
910,3,1,male,32,0,0,STON/O 2. 3101286,7.925,,S,15,NA,0
911,3,0,male,17,0,0,STON/O 2. 3101274,7.125,,S,NA,NA,0
912,3,0,male,21,0,0,8475,8.4333,,S,NA,NA,0
913,3,0,male,30,0,0,349246,7.8958,,S,NA,NA,0
914,3,1,male,21,0,0,350053,7.7958,,S,13,NA,0
915,3,0,male,33,0,0,347465,7.8542,,S,NA,NA,0
916,3,0,male,22,0,0,350060,7.5208,,S,NA,NA,0
917,3,1,female,4,0,1,349256,13.4167,,C,15,NA,0
918,3,1,male,39,0,1,349256,13.4167,,C,15,NA,0
919,3,0,male,29.88113451,0,0,2700,7.2292,,C,NA,NA,0
920,3,0,male,18.5,0,0,2682,7.2292,,C,NA,58,0
921,3,0,male,29.88113451,0,0,12460,7.75,,Q,NA,NA,0
922,3,0,male,29.88113451,0,0,323592,7.25,,S,A,NA,0
923,3,1,female,29.88113451,0,0,9234,7.75,,Q,16,NA,0
924,3,1,female,29.88113451,0,0,14312,7.75,,Q,D,NA,0
925,3,0,male,34.5,0,0,330911,7.8292,,Q,NA,70,0
926,3,0,male,44,0,0,363592,8.05,,S,NA,NA,0
927,3,1,male,29.88113451,0,0,368783,7.75,,Q,NA,NA,0
928,3,0,male,29.88113451,1,0,2660,14.4542,,C,NA,NA,0
929,3,0,female,29.88113451,1,0,2660,14.4542,,C,NA,NA,0
930,3,0,male,29.88113451,1,0,367227,7.75,,Q,NA,NA,0
931,3,0,male,29.88113451,1,0,367229,7.75,,Q,NA,NA,0
932,3,0,male,29.88113451,0,0,36865,7.7375,,Q,NA,NA,0
933,3,0,female,22,2,0,315152,8.6625,,S,NA,NA,0
934,3,0,male,26,2,0,315151,8.6625,,S,NA,NA,0
935,3,1,female,4,0,2,315153,22.025,,S,2,NA,0
936,3,1,male,29,3,1,315153,22.025,,S,2,NA,0
937,3,1,female,26,1,1,315153,22.025,,S,2,NA,0
938,3,0,female,1,1,1,350405,12.1833,,S,NA,NA,0
939,3,0,male,18,1,1,350404,7.8542,,S,NA,NA,0
940,3,0,female,36,0,2,350405,12.1833,,S,NA,NA,0
941,3,0,male,29.88113451,0,0,349253,7.8958,,C,NA,NA,0
942,3,1,male,25,0,0,2654,7.2292,F E57,C,10,NA,1
943,3,0,male,29.88113451,0,0,2624,7.225,,C,NA,NA,0
944,3,0,female,37,0,0,4135,9.5875,,S,NA,NA,0
945,3,0,male,29.88113451,0,0,349217,7.8958,,S,NA,NA,0
946,3,1,male,29.88113451,0,0,1601,56.4958,,S,C,NA,0
947,3,0,male,29.88113451,0,0,1601,56.4958,,S,NA,NA,0
948,3,1,female,22,0,0,C 7077,7.25,,S,13,NA,0
949,3,0,male,29.88113451,0,0,7935,7.75,,Q,NA,NA,0
950,3,1,male,26,0,0,1601,56.4958,,S,14,NA,0
951,3,0,male,29,0,0,7545,9.4833,,S,NA,NA,0
952,3,0,male,29,0,0,347067,7.775,,S,NA,NA,0
953,3,0,male,22,0,0,347065,7.775,,S,NA,NA,0
954,3,1,male,22,0,0,2620,7.225,,C,6,NA,0
955,3,0,male,29.88113451,3,1,4133,25.4667,,S,NA,NA,0
956,3,0,female,29.88113451,3,1,4133,25.4667,,S,NA,NA,0
957,3,0,female,29.88113451,3,1,4133,25.4667,,S,NA,NA,0
958,3,0,female,29.88113451,3,1,4133,25.4667,,S,NA,NA,0
959,3,0,female,29.88113451,0,4,4133,25.4667,,S,NA,NA,0
960,3,0,male,32,0,0,STON/O 2. 3101292,7.925,,S,NA,NA,0
961,3,0,male,34.5,0,0,2683,6.4375,,C,NA,196,0
962,3,0,female,29.88113451,1,0,370371,15.5,,Q,NA,NA,0
963,3,0,male,29.88113451,1,0,370371,15.5,,Q,NA,NA,0
964,3,0,male,36,0,0,LINE,0,,S,NA,NA,0
965,3,0,male,39,0,0,A/4 48871,24.15,,S,NA,NA,0
966,3,0,male,24,0,0,345781,9.5,,S,NA,NA,0
967,3,0,female,25,0,0,347071,7.775,,S,NA,NA,0
968,3,0,female,45,0,0,347073,7.75,,S,NA,NA,0
969,3,0,male,36,1,0,349910,15.55,,S,A,NA,0
970,3,0,female,30,1,0,349910,15.55,,S,A,NA,0
971,3,1,male,20,1,0,STON/O 2. 3101285,7.925,,S,15,NA,0
972,3,0,male,29.88113451,0,0,330971,7.8792,,Q,NA,NA,0
973,3,0,male,28,0,0,1601,56.4958,,S,NA,NA,0
974,3,0,male,29.88113451,0,0,S.O./P.P. 251,7.55,,S,NA,NA,0
975,3,0,male,30,1,0,A/5. 3336,16.1,,S,NA,NA,0
976,3,0,female,26,1,0,A/5. 3336,16.1,,S,NA,NA,0
977,3,0,male,29.88113451,0,0,1222,7.8792,,S,NA,153,0
978,3,0,male,20.5,0,0,A/5 21173,7.25,,S,NA,NA,0
979,3,1,male,27,0,0,315098,8.6625,,S,15,NA,0
980,3,0,male,51,0,0,347743,7.0542,,S,NA,NA,0
981,3,1,female,23,0,0,347469,7.8542,,S,10,NA,0
982,3,1,male,32,0,0,350403,7.5792,,S,15,NA,0
983,3,0,male,29.88113451,0,0,349235,7.8958,,S,NA,NA,0
984,3,0,male,29.88113451,0,0,C.A. 42795,7.55,,S,NA,NA,0
985,3,1,female,29.88113451,0,0,370370,7.75,,Q,15,NA,0
986,3,1,male,24,0,0,C 17369,7.1417,,S,13,NA,0
987,3,0,male,22,0,0,STON/O 2. 3101275,7.125,,S,NA,NA,0
988,3,0,female,29.88113451,0,0,330924,7.8792,,Q,NA,NA,0
989,3,0,male,29.88113451,0,0,AQ/4 3130,7.75,,Q,NA,NA,0
990,3,0,male,29.88113451,0,0,A/S 2816,8.05,,S,NA,NA,0
991,3,0,male,29,0,0,STON/O 2. 3101268,7.925,,S,NA,NA,0
992,3,1,male,29.88113451,0,0,2677,7.2292,,C,15,NA,0
993,3,0,female,30.5,0,0,364850,7.75,,Q,NA,61,0
994,3,1,female,29.88113451,0,0,36866,7.7375,,Q,16,NA,0
995,3,0,male,29.88113451,0,0,2655,7.2292,F E46,C,NA,NA,1
996,3,0,male,35,0,0,349213,7.8958,,C,NA,NA,0
997,3,0,male,33,0,0,349257,7.8958,,S,NA,NA,0
998,3,1,female,29.88113451,0,0,2649,7.225,,C,C,NA,0
999,3,0,male,29.88113451,0,0,349255,7.8958,,C,NA,NA,0
1000,3,1,female,29.88113451,0,0,383123,7.75,,Q,15 16,NA,0
1001,3,1,male,29.88113451,0,0,367228,7.75,,Q,NA,NA,0
1002,3,1,female,29.88113451,2,0,367226,23.25,,Q,16,NA,0
1003,3,1,female,29.88113451,2,0,367226,23.25,,Q,16,NA,0
1004,3,1,male,29.88113451,2,0,367226,23.25,,Q,16,NA,0
1005,3,1,female,29.88113451,0,0,330932,7.7875,,Q,13,NA,0
1006,3,0,male,29.88113451,0,0,36568,15.5,,Q,NA,NA,0
1007,3,1,female,29.88113451,0,0,330931,7.8792,,Q,13,NA,0
1008,3,1,female,15,0,0,330923,8.0292,,Q,NA,NA,0
1009,3,0,female,35,0,0,9232,7.75,,Q,NA,NA,0
1010,3,0,male,29.88113451,0,0,370372,7.75,,Q,NA,NA,0
1011,3,0,male,24,1,0,376566,16.1,,S,NA,NA,0
1012,3,0,female,19,1,0,376566,16.1,,S,NA,53,0
1013,3,0,female,29.88113451,0,0,370368,7.75,,Q,NA,NA,0
1014,3,0,female,29.88113451,0,0,SOTON/O.Q. 392087,8.05,,S,NA,NA,0
1015,3,0,female,29.88113451,0,0,343095,8.05,,S,NA,NA,0
1016,3,0,male,55.5,0,0,A.5. 11206,8.05,,S,NA,201,0
1017,3,0,male,29.88113451,0,0,368703,7.75,,Q,NA,NA,0
1018,3,1,male,21,0,0,345501,7.775,,S,15,NA,0
1019,3,0,male,29.88113451,0,0,359306,8.05,,S,NA,NA,0
1020,3,0,male,24,0,0,349233,7.8958,,S,NA,NA,0
1021,3,0,male,21,0,0,349211,7.8958,,S,NA,NA,0
1022,3,0,male,28,0,0,349207,7.8958,,S,NA,NA,0
1023,3,0,male,29.88113451,0,0,349221,7.8958,,S,NA,NA,0
1024,3,1,female,29.88113451,0,0,330980,7.8792,,Q,16,NA,0
1025,3,0,male,25,0,0,348123,7.65,F G73,S,NA,309,1
1026,3,1,male,6,0,1,392096,12.475,E121,S,14,NA,1
1027,3,1,female,27,0,1,392096,12.475,E121,S,14,NA,1
1028,3,0,male,29.88113451,0,0,A4. 54510,8.05,,S,NA,NA,0
1029,3,1,female,29.88113451,1,0,371110,24.15,,Q,16,NA,0
1030,3,0,male,29.88113451,1,0,371110,24.15,,Q,NA,NA,0
1031,3,0,male,29.88113451,0,0,330877,8.4583,,Q,NA,NA,0
1032,3,0,male,34,0,0,364506,8.05,,S,NA,NA,0
1033,3,0,male,29.88113451,0,0,372622,7.75,,Q,NA,NA,0
1034,3,1,male,29.88113451,0,0,312991,7.775,,S,B,NA,0
1035,3,1,male,29.88113451,1,1,2661,15.2458,,C,C,NA,0
1036,3,1,male,29.88113451,1,1,2661,15.2458,,C,C,NA,0
1037,3,1,female,29.88113451,0,2,2661,15.2458,,C,C,NA,0
1038,3,1,female,29.88113451,0,0,2626,7.2292,,C,NA,NA,0
1039,3,0,male,29.88113451,0,0,374746,8.05,,S,NA,NA,0
1040,3,1,female,29.88113451,0,0,35852,7.7333,,Q,16,NA,0
1041,3,1,female,24,0,0,382653,7.75,,Q,15,NA,0
1042,3,0,male,29.88113451,0,0,A./5. 3235,8.05,,S,NA,NA,0
1043,3,1,female,29.88113451,1,0,367230,15.5,,Q,16,NA,0
1044,3,1,female,29.88113451,1,0,367230,15.5,,Q,16,NA,0
1045,3,1,female,29.88113451,0,0,36568,15.5,,Q,16,NA,0
1046,3,0,male,18,0,0,347078,7.75,,S,NA,NA,0
1047,3,0,male,22,0,0,349206,7.8958,,S,NA,NA,0
1048,3,1,female,15,0,0,2667,7.225,,C,C,NA,0
1049,3,1,female,1,0,2,2653,15.7417,,C,C,NA,0
1050,3,1,male,20,1,1,2653,15.7417,,C,C,NA,0
1051,3,1,female,19,1,1,2653,15.7417,,C,C,NA,0
1052,3,0,male,33,0,0,A./5. 3338,8.05,,S,NA,NA,0
1053,3,0,male,29.88113451,0,0,349218,7.8958,,S,NA,NA,0
1054,3,0,male,29.88113451,0,0,2652,7.2292,,C,NA,NA,0
1055,3,0,female,29.88113451,0,0,365237,7.75,,Q,NA,NA,0
1056,3,0,male,29.88113451,0,0,349234,7.8958,,S,NA,NA,0
1057,3,1,male,12,1,0,2651,11.2417,,C,C,NA,0
1058,3,1,female,14,1,0,2651,11.2417,,C,C,NA,0
1059,3,0,female,29,0,0,3101297,7.925,,S,NA,NA,0
1060,3,0,male,28,0,0,363611,8.05,,S,NA,NA,0
1061,3,1,female,18,0,0,347066,7.775,,S,D,NA,0
1062,3,1,female,26,0,0,347470,7.8542,,S,13,NA,0
1063,3,0,male,21,0,0,350410,7.8542,,S,NA,NA,0
1064,3,0,male,41,0,0,SOTON/O2 3101272,7.125,,S,NA,NA,0
1065,3,1,male,39,0,0,STON/O 2. 3101289,7.925,,S,9,NA,0
1066,3,0,male,21,0,0,A/4. 39886,7.8,,S,NA,NA,0
1067,3,0,male,28.5,0,0,2697,7.2292,,C,NA,181,0
1068,3,1,female,22,0,0,347081,7.75,,S,13,NA,0
1069,3,0,male,61,0,0,345364,6.2375,,S,NA,NA,0
1070,3,0,male,29.88113451,1,0,370365,15.5,,Q,NA,NA,0
1071,3,0,male,29.88113451,0,0,330979,7.8292,,Q,NA,NA,0
1072,3,1,female,29.88113451,1,0,370365,15.5,,Q,NA,NA,0
1073,3,0,male,29.88113451,0,0,334912,7.7333,,Q,NA,NA,0
1074,3,0,male,29.88113451,0,0,371060,7.75,,Q,NA,NA,0
1075,3,0,male,29.88113451,0,0,366713,7.75,,Q,NA,NA,0
1076,3,0,male,23,0,0,7267,9.225,,S,NA,NA,0
1077,3,0,female,29.88113451,0,0,364856,7.75,,Q,NA,NA,0
1078,3,1,female,29.88113451,0,0,14311,7.75,,Q,D,NA,0
1079,3,1,female,29.88113451,0,0,330959,7.8792,,Q,NA,NA,0
1080,3,1,female,22,0,0,347085,7.775,,S,C,NA,0
1081,3,1,male,29.88113451,0,0,368402,7.75,,Q,B,NA,0
1082,3,1,female,29.88113451,0,0,330919,7.8292,,Q,13,NA,0
1083,3,1,male,9,0,1,C 17368,3.1708,,S,13,NA,0
1084,3,0,male,28,0,0,C 4001,22.525,,S,NA,173,0
1085,3,0,male,42,0,1,4579,8.4042,,S,NA,NA,0
1086,3,0,male,29.88113451,0,0,Fa 265302,7.3125,,S,NA,NA,0
1087,3,0,female,31,0,0,350407,7.8542,,S,NA,NA,0
1088,3,0,male,28,0,0,347464,7.8542,,S,NA,NA,0
1089,3,1,male,32,0,0,347079,7.775,,S,A,NA,0
1090,3,0,male,20,0,0,6563,9.225,,S,NA,89,0
1091,3,0,female,23,0,0,315085,8.6625,,S,NA,NA,0
1092,3,0,female,20,0,0,315096,8.6625,,S,NA,NA,0
1093,3,0,male,20,0,0,315094,8.6625,,S,NA,NA,0
1094,3,0,male,16,0,0,7534,9.2167,,S,NA,NA,0
1095,3,1,female,31,0,0,349244,8.6833,,S,NA,NA,0
1096,3,0,female,29.88113451,0,0,330909,7.6292,,Q,NA,NA,0
1097,3,0,male,2,3,1,349909,21.075,,S,NA,4,0
1098,3,0,male,6,3,1,349909,21.075,,S,NA,NA,0
1099,3,0,female,3,3,1,349909,21.075,,S,NA,NA,0
1100,3,0,female,8,3,1,349909,21.075,,S,NA,NA,0
1101,3,0,female,29,0,4,349909,21.075,,S,NA,206,0
1102,3,0,male,1,4,1,3101295,39.6875,,S,NA,NA,0
1103,3,0,male,7,4,1,3101295,39.6875,,S,NA,NA,0
1104,3,0,male,2,4,1,3101295,39.6875,,S,NA,NA,0
1105,3,0,male,16,4,1,3101295,39.6875,,S,NA,NA,0
1106,3,0,male,14,4,1,3101295,39.6875,,S,NA,NA,0
1107,3,0,female,41,0,5,3101295,39.6875,,S,NA,NA,0
1108,3,0,male,21,0,0,315097,8.6625,,S,NA,NA,0
1109,3,0,male,19,0,0,358585,14.5,,S,NA,NA,0
1110,3,0,male,29.88113451,0,0,3411,8.7125,,C,NA,NA,0
1111,3,0,male,32,0,0,349242,7.8958,,S,NA,NA,0
1112,3,0,male,0.75,1,1,SOTON/O.Q. 3101315,13.775,,S,NA,NA,0
1113,3,0,female,3,1,1,SOTON/O.Q. 3101315,13.775,,S,NA,NA,0
1114,3,0,female,26,0,2,SOTON/O.Q. 3101315,13.775,,S,NA,NA,0
1115,3,0,male,29.88113451,0,0,343271,7,,S,NA,NA,0
1116,3,0,male,29.88113451,0,0,345498,7.775,,S,NA,NA,0
1117,3,0,male,29.88113451,0,0,A/5 2817,8.05,,S,NA,NA,0
1118,3,0,male,21,0,0,STON/O 2. 3101294,7.925,,S,NA,NA,0
1119,3,0,male,25,0,0,STON/O 2. 3101291,7.925,,S,NA,NA,0
1120,3,0,male,22,0,0,A/5 21174,7.25,,S,NA,NA,0
1121,3,1,male,25,1,0,347083,7.775,,S,15,NA,0
1122,3,1,male,29.88113451,1,1,2668,22.3583,,C,C,NA,0
1123,3,1,female,29.88113451,1,1,2668,22.3583,F E69,C,D,NA,1
1124,3,1,female,29.88113451,0,2,2668,22.3583,,C,D,NA,0
1125,3,0,female,29.88113451,0,0,330935,8.1375,,Q,NA,NA,0
1126,3,0,male,24,0,0,342441,8.05,,S,NA,NA,0
1127,3,0,female,28,0,0,349245,7.8958,,S,NA,NA,0
1128,3,0,male,19,0,0,349212,7.8958,,S,NA,NA,0
1129,3,0,male,29.88113451,0,0,349215,7.8958,,S,NA,NA,0
1130,3,0,male,25,1,0,347076,7.775,,S,NA,NA,0
1131,3,0,female,18,0,0,347087,7.775,,S,NA,NA,0
1132,3,1,male,32,0,0,SOTON/O.Q. 392078,8.05,E10,S,9,NA,1
1133,3,0,male,29.88113451,0,0,349227,7.8958,,S,NA,NA,0
1134,3,0,male,17,0,0,315095,8.6625,,S,NA,NA,0
1135,3,0,male,24,0,0,315092,8.6625,,S,NA,NA,0
1136,3,0,male,29.88113451,0,0,349223,7.8958,,S,NA,NA,0
1137,3,0,female,29.88113451,0,0,65305,8.1125,,S,NA,NA,0
1138,3,0,male,29.88113451,0,0,2629,7.2292,,C,NA,NA,0
1139,3,0,male,29.88113451,0,0,362316,7.25,,S,NA,NA,0
1140,3,0,male,38,0,0,349249,7.8958,,S,NA,NA,0
1141,3,0,male,21,0,0,342684,8.05,,S,NA,NA,0
1142,3,0,male,10,4,1,382652,29.125,,Q,NA,NA,0
1143,3,0,male,4,4,1,382652,29.125,,Q,NA,NA,0
1144,3,0,male,7,4,1,382652,29.125,,Q,NA,NA,0
1145,3,0,male,2,4,1,382652,29.125,,Q,NA,NA,0
1146,3,0,male,8,4,1,382652,29.125,,Q,NA,NA,0
1147,3,0,female,39,0,5,382652,29.125,,Q,NA,327,0
1148,3,0,female,22,0,0,3101295,39.6875,,S,NA,NA,0
1149,3,0,male,35,0,0,STON/O 2. 3101273,7.125,,S,NA,NA,0
1150,3,1,female,29.88113451,0,0,334915,7.7208,,Q,13,NA,0
1151,3,0,male,29.88113451,0,0,364498,14.5,,S,NA,NA,0
1152,3,0,female,29.88113451,0,0,364498,14.5,,S,NA,NA,0
1153,3,0,male,50,1,0,A/5. 3337,14.5,,S,NA,119,0
1154,3,0,female,47,1,0,A/5. 3337,14.5,,S,NA,7,0
1155,3,0,male,29.88113451,0,0,S.C./A.4. 23567,8.05,,S,NA,NA,0
1156,3,0,male,29.88113451,0,0,312993,7.775,,S,NA,NA,0
1157,3,0,female,2,1,1,370129,20.2125,,S,NA,NA,0
1158,3,0,male,18,1,1,370129,20.2125,,S,NA,NA,0
1159,3,0,female,41,0,2,370129,20.2125,,S,NA,NA,0
1160,3,1,female,29.88113451,0,0,342712,8.05,,S,C,NA,0
1161,3,0,male,50,0,0,A/5 3594,8.05,,S,NA,NA,0
1162,3,0,male,16,0,0,A/4. 20589,8.05,,S,NA,NA,0
1163,3,1,male,29.88113451,0,0,383162,7.75,,Q,14,NA,0
1164,3,0,male,29.88113451,0,0,371110,24.15,,Q,NA,NA,0
1165,3,0,male,29.88113451,0,0,2671,7.2292,,C,NA,NA,0
1166,3,0,male,25,0,0,2672,7.225,,C,NA,NA,0
1167,3,0,male,29.88113451,0,0,2676,7.225,,C,NA,NA,0
1168,3,0,male,29.88113451,0,0,367655,7.7292,,Q,NA,NA,0
1169,3,0,male,29.88113451,0,0,LP 1588,7.575,,S,NA,NA,0
1170,3,0,male,38.5,0,0,SOTON/O.Q. 3101262,7.25,,S,NA,32,0
1171,3,0,male,29.88113451,8,2,CA. 2343,69.55,,S,NA,NA,0
1172,3,0,male,14.5,8,2,CA. 2343,69.55,,S,NA,67,0
1173,3,0,female,29.88113451,8,2,CA. 2343,69.55,,S,NA,NA,0
1174,3,0,female,29.88113451,8,2,CA. 2343,69.55,,S,NA,NA,0
1175,3,0,female,29.88113451,8,2,CA. 2343,69.55,,S,NA,NA,0
1176,3,0,female,29.88113451,8,2,CA. 2343,69.55,,S,NA,NA,0
1177,3,0,male,29.88113451,8,2,CA. 2343,69.55,,S,NA,NA,0
1178,3,0,male,29.88113451,8,2,CA. 2343,69.55,,S,NA,NA,0
1179,3,0,male,29.88113451,8,2,CA. 2343,69.55,,S,NA,NA,0
1180,3,0,male,29.88113451,1,9,CA. 2343,69.55,,S,NA,NA,0
1181,3,0,female,29.88113451,1,9,CA. 2343,69.55,,S,NA,NA,0
1182,3,0,male,24,0,0,7266,9.325,,S,NA,NA,0
1183,3,1,female,21,0,0,343120,7.65,,S,C,NA,0
1184,3,0,male,39,0,0,3101296,7.925,,S,NA,NA,0
1185,3,0,male,29.88113451,2,0,2662,21.6792,,C,NA,NA,0
1186,3,0,male,29.88113451,2,0,2662,21.6792,,C,NA,NA,0
1187,3,0,male,29.88113451,2,0,2662,21.6792,,C,NA,NA,0
1188,3,1,female,1,1,1,PP 9549,16.7,G6,S,13,NA,1
1189,3,1,female,24,0,2,PP 9549,16.7,G6,S,13,NA,1
1190,3,1,female,4,1,1,PP 9549,16.7,G6,S,13,NA,1
1191,3,1,male,25,0,0,345768,9.5,,S,11,NA,0
1192,3,0,male,20,0,0,A/5. 2151,8.05,,S,NA,NA,0
1193,3,0,male,24.5,0,0,342826,8.05,,S,NA,284,0
1194,3,0,male,29.88113451,0,0,36209,7.725,,Q,NA,NA,0
1195,3,0,male,29.88113451,0,0,349222,7.8958,,S,NA,NA,0
1196,3,0,male,29.88113451,0,0,370374,7.75,,Q,NA,NA,0
1197,3,1,male,29,0,0,345779,9.5,,S,11,NA,0
1198,3,0,male,29.88113451,0,0,C.A. 6212,15.1,,S,NA,NA,0
1199,3,1,female,29.88113451,0,0,330968,7.7792,,Q,NA,NA,0
1200,3,0,male,29.88113451,0,0,374910,8.05,,S,NA,NA,0
1201,3,0,male,29.88113451,0,0,SOTON/OQ 392082,8.05,,S,NA,NA,0
1202,3,0,male,22,0,0,2669,7.2292,,C,NA,NA,0
1203,3,0,male,29.88113451,0,0,392092,8.05,,S,NA,NA,0
1204,3,0,male,40,0,0,349251,7.8958,,S,NA,NA,0
